songs,artists
Lovin On Me,Jack Harlow
Lose Control,Teddy Swims
Beautiful Things,Benson Boone
Cruel Summer,Taylor Swift
Snooze,SZA
I Remember Everything,Zach Bryan Featuring Kacey Musgraves
Greedy,Tate McRae
Fast Car,Luke Combs
Agora Hills,Doja Cat
Flowers,Miley Cyrus
Stick Season,Noah Kahan
Water,Tyla
Hiss,Megan Thee Stallion
Redrum,21 Savage
Last Night,Morgan Wallen
Thinkin' Bout Me,Morgan Wallen
Paint The Town Red,Doja Cat
Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
Never Lose Me,Flo Milli
What Was I Made For?,Billie Eilish
"Yes, And?",Ariana Grande
Houdini,Dua Lipa
Selfish,Justin Timberlake
Pretty Little Poison,Warren Zeiders
La Diabla,Xavi
Where The Wild Things Are,Luke Combs
Everybody,Nicki Minaj Featuring Lil Uzi Vert
Made For Me,Muni Long
Vampire,Olivia Rodrigo
The Painter,Cody Johnson
White Horse,Chris Stapleton
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA
On My Mama,Victoria Monet
Exes,Tate McRae
Wild Ones,Jessie Murph & Jelly Roll
Feather,Sabrina Carpenter
Dance The Night,Dua Lipa
Bandit,Don Toliver
Need A Favor,Jelly Roll
Save Me,Jelly Roll With Lainey Wilson
Fukumean,Gunna
Fast Car,Tracy Chapman
Lil Boo Thang,Paul Russell
World On Fire,Nate Smith
Good Good,"Usher, Summer Walker & 21 Savage"
Truck Bed,HARDY
First Person Shooter,Drake Featuring J. Cole
Surround Sound,JID Featuring 21 Savage & Baby Tate
Strangers,Kenya Grace
My Love Mine All Mine,Mitski
Spin You Around (1/24),Morgan Wallen
Think U The Shit (Fart),Ice Spice
Igual Que Un Angel,Kali Uchis & Peso Pluma
FTCU,Nicki Minaj
Burn It Down,Parker McCollum
La Victima,Xavi
One Of The Girls,"The Weeknd, Jennie & Lily Rose Depp"
Nee-nah,"21 Savage, Travis Scott & Metro Boomin"
Murder On The Dancefloor,Sophie Ellis-Bextor
Praise Jah In The Moonlight,YG Marley
Act II: Date @ 8,4Batz
Turn The Lights Back On,Billy Joel
Man Made A Bar,Morgan Wallen Featuring Eric Church
One Call,Rich Amiri
You Broke My Heart,Drake
Different 'Round Here,Riley Green Featuring Luke Combs
Harley Quinn,Fuerza Regida & Marshmello
Get In With Me,BossMan Dlow
FE!N,Travis Scott Featuring Playboi Carti
Bellakeo,Peso Pluma & Anitta
500lbs,Lil Tecca
IDGAF,Drake Featuring Yeat
I Can Feel It,Kane Brown
23,Chayce Beckham
Prove It,21 Savage & Summer Walker
Soak City,310babii
Monaco,Bad Bunny
Mamaw's House,Thomas Rhett Featuring Morgan Wallen
We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton
Home,Good Neighbours
Standing Next To You,Jung Kook
Perro Negro,Bad Bunny & Feid
Mmhmm,BigXthaPlug
Oklahoma Smokeshow,Zach Bryan
My Eyes,Travis Scott
Coal,Dylan Gossett
A Cold Sunday,Lil Yachty
All Of Me,21 Savage
N.H.I.E.,21 Savage & Doja Cat
Should've Wore A Bonnet,21 Savage & Brent Faiyaz
Que Onda,Calle 24 x Chino Pacas x Fuerza Regida
Wondering Why,The Red Clay Strays
Y Lloro,Junior H
Sensational,Chris Brown Featuring Davido & Lojay
Wildflowers And Wild Horses,Lainey Wilson
Worth It,Offset & Don Toliver
Northern Attitude,Noah Kahan With Hozier
Scared To Start,Michael Marcagi
First Love,Oscar Ortiz X Edgardo Nunez
Where It Ends,Bailey Zimmerman
